REPEAT       := 20
==> Running Embedders Heap benchmarks (1 of 20)
    BENCH        := //rs/embedders:heap_bench
    BENCH_ARGS   := --warm-up-time=1 --measurement-time=1 --output-format=bencher
    FILTER       := 
    MIN_FILE     := EMBEDDERS_HEAP.min
    LOG_FILE     := EMBEDDERS_HEAP.log
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_8_checkpoint   471 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_8_checkpoint   486 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_8_page_delta  1004 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_8_page_delta  1019 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_8_new_allocation   340 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_8_new_allocation   357 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_4kb_checkpoint   225 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_4kb_checkpoint   212 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_4kb_page_delta   883 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_4kb_page_delta   883 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_4kb_new_allocation   215 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_4kb_new_allocation   215 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_16kb_checkpoint   201 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_16kb_checkpoint   189 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_16kb_page_delta  1117 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_16kb_page_delta  1116 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_16kb_new_allocation    58 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_16kb_new_allocation    58 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_checkpoint    10 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_checkpoint    10 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_8_checkpoint   497 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_8_checkpoint   389 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_8_page_delta   999 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_8_page_delta   969 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_8_new_allocation   339 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_8_new_allocation   358 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_4kb_checkpoint   210 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_4kb_checkpoint   201 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_4kb_page_delta   827 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_4kb_page_delta   887 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_4kb_new_allocation   217 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_4kb_new_allocation   216 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_16kb_checkpoint   177 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_16kb_checkpoint   185 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_16kb_page_delta  1149 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_16kb_page_delta  1087 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_16kb_new_allocation    59 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_16kb_new_allocation    58 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_new_allocation     4 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_new_allocation     4 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_8_checkpoint   382 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_8_checkpoint   384 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_8_page_delta   875 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_8_page_delta   847 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_8_new_allocation   334 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_8_new_allocation   352 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_4kb_checkpoint   128 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_4kb_checkpoint   118 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_4kb_page_delta   714 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_4kb_page_delta   711 ms/iter
