REPEAT       := 3
==> Running Embedders Heap benchmarks (1 of 3)
    BENCH        := //rs/embedders:heap_bench
    BENCH_ARGS   := --warm-up-time=1 --measurement-time=1 --output-format=bencher
    FILTER       := [0-9]mb
    MIN_FILE     := EMBEDDERS_HEAP.min
    LOG_FILE     := EMBEDDERS_HEAP.log
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_checkpoint    11 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_checkpoint    11 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_5mb_checkpoint     4 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_5mb_checkpoint     4 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/query/wasm32_query_read_fwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/query/wasm64_query_read_fwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_checkpoint    11 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_checkpoint    11 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_5mb_checkpoint     4 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_5mb_checkpoint     4 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/query/wasm32_query_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/query/wasm64_query_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_2mb_page_delta    11 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_2mb_page_delta    11 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm32_update_read_fwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/update/wasm64_update_read_fwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_2mb_page_delta    11 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_2mb_page_delta    10 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_2mb_new_allocation     6 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_checkpoint     9 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_new_allocation     7 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_new_allocation     7 ms/iter
