# A "*" indicates non-gzipped version
#CanisterType ProposalId GitVersion WasmHash
governance* 88872  1fc0208b9aeed0554b1be2711605e5b54ace9d6a 225e74293047a7acd24c3b26767ec7a3a0d90e1964721ba6ca434490cb090476
root*       88875  1fc0208b9aeed0554b1be2711605e5b54ace9d6a fe1967146841a247b2f793ae61e5ef3c6b45ecfbe162ecaa8af246bf5e07333f
swap*       88876  1fc0208b9aeed0554b1be2711605e5b54ace9d6a 532e7d7952d50a7c6f8f9f5e36d223b440695e3b275e1e0b8bb34d51ec7725ca
ledger*     88880  1fc0208b9aeed0554b1be2711605e5b54ace9d6a 5f096a7128a842fe8066748dc460e12872af093e6090925c24deb97a6c01272a
index*      89061  1fc0208b9aeed0554b1be2711605e5b54ace9d6a f157c0894071dee89cbeb6ae8b02113b9bdb524db4427f666c5872a0e9806f8d
archive*    89062  1fc0208b9aeed0554b1be2711605e5b54ace9d6a 7ca80cb2fee2bae8e66306b1d7fe431e0a35d1f76c384be2f44c2cca33c72a03
swap*       90679  cffea827561a47da22dda77dab1cf61feb0437f8 2ae1d49ee01130eb36aedb4d8d1f4965d2cb62c1e1981b685088790896cc6f46
governance* 92608  c9b2f9653afc2da47e5bd527c192090b860acbf0 3cd570d83c8707fc0b427e5c2d8ef2addb4d1c489cf6f157abdede70a83362c8
swap*       92609  c9b2f9653afc2da47e5bd527c192090b860acbf0 9d12e72281a0486742c6b0fdc4849b3f79f20b64c1d3c457fe6986c16399506c
ledger*     92611  c9b2f9653afc2da47e5bd527c192090b860acbf0 0e5d27f78ba44c7531693bfbdef7a3f8f6299ff150064a7dd6f1f6952ea908d3
index*      92613  c9b2f9653afc2da47e5bd527c192090b860acbf0 7261abc56ab78d83c539ab13ccfabcfd92373e06f473e3a81491b20be0150544
governance  93092  090276896af7c5eaa9d9dcbb9af45fe957d0a99b 89b1c96540f980ff70cb4b0ca3a0de58f6c1862f97ca0c407f155f8228f0e055
ledger      93093  090276896af7c5eaa9d9dcbb9af45fe957d0a99b 8fbb21200280d641332dac46db323ceae198c9ca6edec9512c498eefe8c03886
ledger      95427  d4d9551c4d11b56f6c98e7815eabb12550d3a6db 6a162e9a8335c454f2a8329b096308152cc8b88dcdb7e6039edbbc7c6307a550
governance  104981 9ea4448efb34a1e425bfca1dbb480b3d9e6a7f6d f6d49d83bcc194d6b6635d0262956c388f672e81eafb011cd0e45415a715f171
root        105364 9ea4448efb34a1e425bfca1dbb480b3d9e6a7f6d 8b2e9f5ac40f916b14dde2822450bde7846ed8980436c4dc2098da0c0bce731e
archive     109495 9bb8f35cccd013b38657c67964c39d48fac6353f 601d27aac96b94dfb199ad0872425ac6978a7e20db3722e6c3b8780b04ff8270
governance  109496 9bb8f35cccd013b38657c67964c39d48fac6353f b6d9f3a661cb51caddeff3154ebe3fd9ef879efe1e087c76fe8ba10e2e1fa84e
index       109497 9bb8f35cccd013b38657c67964c39d48fac6353f bd4c020f34af4bbd705566a7330c74ffed5b4c51baf012698f7afd41d7ab4272
ledger      109498 9bb8f35cccd013b38657c67964c39d48fac6353f 8034b3d44b4161136ab99d0f6e3edd0f6bccc5a4d8414e7fe0af08c3be64280a
root        109499 9bb8f35cccd013b38657c67964c39d48fac6353f d328cb7c06e3d9ef0400243d05baabc37bcaad5eca205d0445846b6f69b3cf60
swap        109501 9bb8f35cccd013b38657c67964c39d48fac6353f 6e6ac7ca6bce8f24524ba131a852637e10e711cddeb25e6be9f9ab1b0af4c611
governance  110037 822f933e7db6b3f843401245d0bf814632ed4084 c9ab8be65fda4e268ef0ef562cda3a7e6c9507c5599f86e33ed45b45fac9ee0a
ledger      110038 822f933e7db6b3f843401245d0bf814632ed4084 443412d2cde8f60121e9b2ba7372e784c558ecffc09808350adaf72fd97c8b73
archive     110039 822f933e7db6b3f843401245d0bf814632ed4084 1adb66726a8ea05563f85ede478f2a233e54a2d07f1d74b83af26a0b392e3e14
governance  110249 883d9b7508ad8e520efcc5a6a2358b395e44e1ae 05856507d96ad175ee44589ed4f83785e3c6e74262aac84c5677c3b1c3393d7b
swap        114191 932c1bfc04728783a815e0867b579c1eb26df99d 028aa2d9817903fe8c5b94f2f31c596b682b013d4ac8acbb74d5a91ac56bc0b7
governance  114483 8573ad55864cd396e963ab03668cc4bf634375c4 6a82f46c75d45f22f782ad808ccaeb6175180537bb6565b6d7e868a10ace6b0a
root        114485 8573ad55864cd396e963ab03668cc4bf634375c4 fde766f00e72f3888161159b93275f4febb8eb399dcc68fc1a5bade7922d18ba
governance  122622 a1f503d20b7846375c74ce5f7d0f8f6620ab7511 c3e4d1436aa8d59ce62d3bf3ce0e08f6607eb35625edcf5a4e89e26d8a284577
root        122623 a1f503d20b7846375c74ce5f7d0f8f6620ab7511 cc8d5986cb48043b47176510b357e55f6c2788689d451f25ece27268a94ae6f3
swap        122624 a1f503d20b7846375c74ce5f7d0f8f6620ab7511 9ed73e1547a29255d28878f40da303b9069119e4c8d73ac5e8295b300777f358
governance  123495 1e391f489ae2e79961f36c8c709e8692dbb46f33 d0da91d1bdb573d8f7c7286defef16559f2e619f9e4821c0810da3e8aaa4c9bf
